time,open,high,low,close
1676246400,21787.57,21796.3,21778.19,21795.84
1676246700,21796.18,21806.92,21795.33,21803.72
1676247000,21802.58,21803.27,21757.13,21763.66
1676247300,21761,21766.07,21739.35,21740.39
1676247600,21742.79,21771.27,21736.81,21737.48
1676247900,21740.25,21748.22,21736.08,21741.75
1676248200,21742.59,21770.15,21738.61,21742.45
1676248500,21740.19,21740.46,21699.74,21722.73
1676248800,21722.77,21758.93,21719.04,21757.6
1676249100,21756.82,21851.62,21753.74,21844.92
1676249400,21844.54,21873.12,21837.11,21854.35
1676249700,21854.16,21855.27,21819.45,21820.41
1676250000,21816.97,21834.77,21796.16,21799.12
1676250300,21800.81,21800.81,21723.95,21738.6
1676250600,21736.08,21765.71,21721.3,21760.25
1676250900,21759.19,21768.36,21737.26,21744.08
1676251200,21744.24,21773.35,21739.86,21764.28
1676251500,21759.94,21759.96,21719.03,21720.94
1676251800,21714.91,21730.55,21667.6,21722.83
1676252100,21731.49,21768.24,21731.48,21760.6
1676252400,21763.77,21770.33,21754.11,21768.54
1676252700,21769.1,21777.93,21754.72,21755.4
1676253000,21754.28,21757.41,21715.69,21726.27
1676253300,21722.56,21723.92,21703.14,21715.61
1676253600,21716.65,21736.6,21712.81,21722.21
1676253900,21720.12,21720.93,21701.27,21706.71
1676254200,21709.7,21736.01,21709.05,21725.71
1676254500,21720.43,21738.39,21703.33,21737.37
1676254800,21735.62,21735.65,21681.43,21690.12
1676255100,21688.41,21717.68,21675.42,21678.09
1676255400,21676.45,21738.96,21637.08,21737.53
1676255700,21739.52,21749.22,21728.29,21749.14
1676256000,21751.37,21751.92,21731.69,21735.65
1676256300,21736.44,21756.04,21735.27,21752.44
1676256600,21750.07,21755.12,21742.48,21751.39
1676256900,21755.52,21767.22,21753.25,21762.01
1676257200,21762.85,21764.38,21756.18,21760.64
1676257500,21763.63,21774.6,21761.47,21771.76
1676257800,21771.93,21775,21763.44,21764.21
1676258100,21763.4,21765.81,21757.68,21759.34
1676258400,21759.45,21818.54,21759.26,21812.6
1676258700,21814.23,21817.23,21790.93,21791.18
1676259000,21788.75,21811.53,21785.65,21788.12
1676259300,21789.2,21807.6,21785.81,21806.21
1676259600,21805.85,21812.21,21801.62,21811.93
1676259900,21813.3,21813.3,21801.84,21805.43
1676260200,21803.33,21809.73,21801.59,21804.69
1676260500,21803.58,21813.03,21801.56,21812.55
1676260800,21811.24,21820.73,21800.87,21818.46
1676261100,21818.98,21827.08,21815.71,21825.83
1676261400,21825.58,21827.65,21821.97,21824.41
1676261700,21821.68,21821.7,21803.39,21803.78
1676262000,21803.64,21862.04,21802.3,21853.01
1676262300,21851.85,21854.6,21834.3,21837.15
1676262600,21839.17,21839.65,21813.53,21816.25
1676262900,21816.21,21829.29,21814.93,21828.37
1676263200,21829.51,21849.52,21828.96,21845.01
1676263500,21839.27,21850.38,21811.93,21834.12
1676263800,21830.54,21840.82,21821.36,21840.1
1676264100,21837.17,21849.96,21836.68,21841.78
1676264400,21845.39,21848.78,21837.71,21838.57
1676264700,21838.2,21857.04,21837.94,21856.2
1676265000,21855.91,21859.9,21850.96,21851.26
1676265300,21847.3,21850.66,21834.5,21834.88
1676265600,21837.2,21855.28,21836.19,21854.8
1676265900,21855.07,21855.73,21827.06,21852.55
1676266200,21851.16,21855.69,21848.64,21851.99
1676266500,21851.43,21854.12,21844.95,21847.98
1676266800,21846.54,21860.4,21845.72,21859.18
1676267100,21859.59,21867.65,21848.64,21851.64
1676267400,21848.1,21849.86,21830.89,21835.54
1676267700,21838.95,21842.17,21830.39,21838.34
1676268000,21840.26,21842.97,21830.48,21831.21
1676268300,21832.3,21834.16,21829.23,21832.01
1676268600,21832.75,21851.14,21832.23,21849.21
1676268900,21849.21,21857.17,21848.47,21854.72
1676269200,21854.09,21855.93,21849.67,21852.72
1676269500,21851.98,21852.17,21842.49,21846.09
1676269800,21848.02,21848.48,21836.37,21838.35
1676270100,21840.57,21841.2,21832.02,21834.67
1676270400,21836.19,21837.65,21829.72,21830.71
1676270700,21832.34,21835.3,21830.18,21831.18
1676271000,21831.47,21831.5,21822.29,21822.31
1676271300,21814.94,21824.44,21809.28,21824.19
1676271600,21830.18,21831.3,21820.45,21820.95
1676271900,21817.73,21817.77,21803.51,21805.06
1676272200,21811.82,21833.93,21809.6,21833.86
1676272500,21835.51,21857.97,21832.42,21857.47
1676272800,21862.87,21897.42,21862.66,21893.54
1676273100,21892.82,21893.15,21865.34,21876.2
1676273400,21874.42,21880.26,21871.82,21872.55
1676273700,21874.42,21877.22,21868.9,21869.38
1676274000,21864.41,21867.57,21852.28,21852.43
1676274300,21852.06,21860.66,21841.69,21858.77
1676274600,21860.65,21871.11,21854.17,21867.28
1676274900,21867.8,21893.8,21865.21,21888.23
1676275200,21887.8,21891.51,21832.8,21834.54
1676275500,21827.01,21849.85,21821.07,21821.8
1676275800,21816.59,21863.99,21815.85,21851.62
1676276100,21843.42,21849.47,21816.24,21820.47
1676276400,21822.98,21825.13,21789.27,21791.02
1676276700,21788.87,21799.86,21783.52,21791.03
1676277000,21787.37,21806.12,21783.04,21805.33
1676277300,21806.44,21810.24,21777.74,21781.09
1676277600,21779.13,21783.46,21725.17,21727.95
1676277900,21730.31,21759.41,21727.88,21754.47
1676278200,21753.25,21775.91,21751.53,21764.5
1676278500,21762.21,21765.31,21732.79,21736.05
1676278800,21737.05,21764.21,21727.97,21762.27
1676279100,21765.19,21769.47,21671,21705.94
1676279400,21707.43,21719.19,21661.76,21675.03
1676279700,21671.83,21673.46,21538.37,21545.68
