time,open,high,low,close,Fisher,Trigger
1254700800,0.00076392,0.00120045,0.00076392,0.00115338,NaN,0
1255305600,0.00110205,0.00124491,0.00110205,0.00122546,NaN,0
1255910400,0.00124799,0.00128808,0.00121062,0.00128808,NaN,0
1256515200,0.00126622,0.00128455,0.00121911,0.00121911,NaN,0
1257120000,0.00125614,0.00130618,0.00125614,0.00126048,NaN,0
1257724800,0.00126048,0.00135534,0.00123576,0.00123576,NaN,0
1258329600,0.00118912,0.00118912,0.00105922,0.00105922,NaN,0
1258934400,0.00100038,0.00100038,0.00082926,0.00082926,NaN,0
1259539200,0.00082384,0.00082384,0.00073284,0.00073284,NaN,0
1260144000,0.00071822,0.00071822,0.00061788,0.00061788,-0.34282825441539394,0
1260748800,0.00061487,0.00063024,0.00061337,0.0006271,-0.7913738721291064,-0.34282825441539394
1261353600,0.0006271,0.0006334,0.0006271,0.0006334,-1.2454856247558483,-0.7913738721291064
1261958400,0.0006334,0.00071822,0.0006334,0.00071822,-1.573316853826669,-1.2454856247558483
1262563200,0.00071822,0.00071822,0.00071822,0.00071822,-1.718347966546514,-1.573316853826669
1263168000,0.00071822,0.00283078,0.00071822,0.00280002,-1.020586367669126,-1.718347966546514
1263772800,0.00294594,0.00325203,0.00273583,0.00325203,-0.28371039393746755,-1.020586367669126
1264377600,0.00325404,0.0033661,0.00318532,0.00329826,0.3801741697170808,-0.28371039393746755
1264982400,0.00329674,0.00373511,0.00329674,0.00373511,0.9673057479362924,0.3801741697170808
1265587200,0.00379478,0.00405351,0.00379478,0.00405351,1.4948142650546128,0.9673057479362924
1266192000,0.00414731,0.00466157,0.00414731,0.00466157,1.9801812508679726,1.4948142650546128
1266796800,0.0047061,0.00529801,0.0047061,0.00529801,2.4369293702558323,1.9801812508679726
1267401600,0.00539695,0.00547226,0.00539695,0.00547226,2.874596156477538,2.4369293702558323
1271635200,0.003,0.003,0.003,0.003,2.1497341294901764,2.874596156477538
1272240000,0.003,0.003,0.003,0.003,1.3856628728132576,2.1497341294901764
1272844800,0.003,0.0043,0.003,0.0035,0.7420614504713275,1.3856628728132576
1273449600,0.0039,0.0044,0.0039,0.004,0.38574415968362596,0.7420614504713275
1274054400,0.0047,0.0049,0.0043,0.0045,0.30696782437955705,0.38574415968362596
1274659200,0.0048,0.0048,0.0045,0.0045,0.34936600808542373,0.30696782437955705
1275868800,0.0046,0.005,0.0045,0.005,0.45586362064479696,0.34936600808542373
1276473600,0.005,0.005,0.005,0.005,0.6465440511778013,0.45586362064479696
1277078400,0.005,0.0054,0.0044,0.0044,0.8082644302654676,0.6465440511778013
1277683200,0.005,0.0068,0.0044,0.0068,1.1482990536100923,0.8082644302654676
1278288000,0.0055,0.0084,0.0055,0.007,1.5544814753391107,1.1482990536100923
1278892800,0.012,0.0925,0.01,0.08584,1.9805143718341276,1.5544814753391107
1279497600,0.0909,0.09307,0.05049,0.0505,2.408423532330943,1.9805143718341276
1280102400,0.05,0.0699,0.05,0.0611,2.3299408503063317,2.408423532330943
1280707200,0.0625,0.065,0.057,0.0609,2.1765504978869235,2.3299408503063317
1281312000,0.06091,0.07541,0.0593,0.06529,2.1866871408127135,2.1765504978869235
1281916800,0.06319,0.0769,0.0612,0.066,2.311166704620973,2.1866871408127135
1282521600,0.066,0.06689,0.063,0.064,2.3268775722634594,2.311166704620973
1283126400,0.0646,0.069,0.03211,0.0616,1.9757573840938156,2.3268775722634594
