time,open,high,low,close,Fisher,Trigger
-2324712600,29.39,29.43,29.11,29.43,NaN,0
-2322034200,29.4,29.4,25.73,26.18,NaN,0
-2319442200,25.05,25.49,22.09,23.19,NaN,0
-2316591000,22.81,23.15,20.76,23.15,NaN,0
-2314085400,23.19,26.51,23.19,26.11,NaN,0
-2311493400,26.08,28.54,25.16,28.54,NaN,0
-2308728600,29.64,32.52,29.64,29.69,NaN,0
-2306223000,30.4,30.58,27.95,29.3,NaN,0
-2303544600,29.24,31.32,29.24,30.46,NaN,0
-2300866200,30.69,30.69,28.78,29.9,0.23706098049665827,0
-2298447000,30.19,30.51,28.34,28.59,0.5025774150524156,0.23706098049665827
-2295768600,28.8,29.28,27.88,28.22,0.6684583740779159,0.5025774150524156
-2293003800,28.09,28.93,28.01,28.71,0.764521971891754,0.6684583740779159
-2290498200,28.98,32.31,28.98,31.94,1.0087729090102098,0.764521971891754
-2287906200,32.02,34.73,31.58,34.73,1.3761768407025143,1.0087729090102098
-2285141400,35.37,39.7,35.37,39.7,1.7881729078322997,1.3761768407025143
-2282549400,40.15,40.43,36.92,36.92,2.2123629459971617,1.7881729078322997
-2279957400,37.33,38.14,35.07,35.35,2.142882737623995,2.2123629459971617
-2277279000,35.57,35.57,33.06,34.37,1.7164948305463354,2.142882737623995
-2274687000,35.06,36.07,34.87,35.79,1.4122321650129241,1.7164948305463354
-2271835800,35.71,36.7,34.76,36.22,1.225054205722792,1.4122321650129241
-2269330200,36.04,36.33,32.35,33.44,0.9999623321342339,1.225054205722792
-2266911000,34.38,34.38,30.42,32.9,0.561634268006399,0.9999623321342339
-2264232600,31.97,33.55,31.34,33.13,-0.011223156154295144,0.561634268006399
-2261554200,35.2,38.2,34.98,38.2,-0.08536683930876779,-0.011223156154295144
-2258962200,38.29,38.9,36.84,38.11,0.15173743345656637,-0.08536683930876779
-2256370200,38.39,39.23,37.86,39.12,0.5714628613722097,0.15173743345656637
-2253691800,39.54,44.16,39.54,43.71,1.0393322531733076,0.5714628613722097
-2251013400,43.82,43.82,38.7,38.7,1.418602243511692,1.0393322531733076
-2248248600,38.83,40.15,37.34,40.15,1.3911423607169384,1.418602243511692
-2245743000,39.79,41.43,39.48,41.43,1.4364743728957499,1.3911423607169384
-2243151000,42.12,43.83,42.11,43.83,1.6955324526595041,1.4364743728957499
-2240386200,43.75,47.09,43.75,46.61,2.0481383695723707,1.6955324526595041
-2237794200,46.67,48.78,44.87,48.37,2.439418079288293,2.0481383695723707
-2235375000,48.26,54.1,47.73,53.83,2.844933577610365,2.439418079288293
-2232523800,55.06,55.97,52.58,55.84,3.2542844329230443,2.844933577610365
-2230104600,54.02,55.07,48.89,48.89,2.9559947241670277,3.2542844329230443
-2227426200,49.54,52.93,49.54,50.97,2.5311108059705036,2.9559947241670277
-2224661400,51.77,53.4,51.1,53.4,2.2823556453812524,2.5311108059705036
-2222155800,53.51,55.21,53.36,54.8,2.37935609342147,2.2823556453812524
-2219477400,54.73,56.21,52.43,52.78,2.6417743292785465,2.37935609342147
-2216799000,51.39,54.3,51.39,54.3,2.4807936456319952,2.6417743292785465
-2214207000,54.44,54.9,53.36,54.72,2.5467319110992523,2.4807936456319952
-2211615000,54.66,54.66,42.2,47.6,1.5271167870783326,2.5467319110992523
-2208936600,49.34,49.34,45.82,47.89,0.5985320791311854,1.5271167870783326
-2206258200,48.77,49.51,45.88,46.32,-0.15856352486501696,0.5985320791311854
-2203839000,46.05,47.36,44.26,47.36,-0.7993799352377714,-0.15856352486501696
-2201074200,47.47,47.91,44.32,44.42,-1.3067443578342264,-0.7993799352377714
-2198568600,44.41,44.41,41.01,42.8,-1.7868593004960591,-1.3067443578342264
-2195890200,43.01,43.01,38.88,39.71,-2.243967872665196,-1.7868593004960591
-2193211800,40.18,42.75,40.18,41.14,-2.542330493013806,-2.243967872665196
-2190619800,41.33,42.66,41.33,41.87,-2.618910195998075,-2.542330493013806
-2187768600,42.4,42.43,38.36,39.21,-2.8684555999114396,-2.618910195998075
-2185349400,39.8,44.03,39.49,42.76,-2.590472146828321,-2.8684555999114396
-2182671000,42.86,50.02,42.86,48.23,-1.6411421991118016,-2.590472146828321
-2179906200,48.11,51.45,46.48,51.21,-0.7130949115601641,-1.6411421991118016
-2177400600,51.02,51.02,47.02,48.39,0.06916634700726632,-0.7130949115601641
-2174722200,49.04,51.26,48.52,48.52,0.7264206795137511,0.06916634700726632
-2172303000,49.08,50.28,48.66,50.28,1.2349238141083654,0.7264206795137511
-2169624600,51.36,54.96,51.36,54.9,1.7174736797254269,1.2349238141083654
-2167032600,54.99,54.99,48.8,54.88,1.9599427614359635,1.7174736797254269
-2164181400,56.3,56.68,55.12,55.38,2.299329797285389,1.9599427614359635
-2161762200,55.83,55.83,50.31,51.88,2.1913304390166246,2.299329797285389
-2159083800,51.94,53.47,50.01,53.21,1.7305294731078815,2.1913304390166246
-2156319000,52.62,53.07,47.96,48.28,1.0613867974356284,1.7305294731078815
-2153813400,47.85,47.85,46.15,46.68,0.32769266783241535,1.0613867974356284
-2151135000,46.84,48.18,46.7,47.57,-0.29794524106226766,0.32769266783241535
-2148456600,46.37,46.98,44.56,46.76,-0.8725721593358796,-0.29794524106226766
-2145864600,46.58,47.2,45.32,47.04,-1.3293317678030054,-0.8725721593358796
-2143013400,46.91,47.46,46.77,46.94,-1.5723289634358433,-1.3293317678030054
-2140594200,47.29,48.9,46.91,48.66,-1.6029274355675014,-1.5723289634358433
-2138088600,48.67,49.57,47.76,48.53,-1.3769459353739864,-1.6029274355675014
-2135496600,48.6,48.6,46.88,48.1,-1.1860274035346976,-1.3769459353739864
-2132731800,47.99,47.99,46.11,46.58,-1.090690831240739,-1.1860274035346976
