time,open,high,low,close,Fisher,Trigger
-2322639000,29.39,29.43,29.11,29.43,NaN,0
-2322034200,29.4,29.4,28.8,29.2,NaN,0
-2321429400,28.83,28.83,27.82,28.47,NaN,0
-2320824600,28.92,29.36,28.8,28.99,NaN,0
-2320219800,28.05,28.05,27.44,27.44,NaN,0
-2319615000,25.73,26.18,25.05,25.16,NaN,0
-2319010200,25.25,25.49,25.12,25.23,NaN,0
-2318405400,25.12,25.12,23.13,23.13,NaN,0
-2317800600,22.09,23.39,22.09,22.84,NaN,0
-2317195800,22.78,23.19,22.32,23.19,-0.3411278500043883,0
-2316591000,22.81,22.81,20.76,20.76,-0.7890660016461417,-0.3411278500043883
-2315986200,20.97,22.26,20.97,22.26,-1.2590085924472798,-0.7890660016461417
-2315381400,22.5,22.68,22.13,22.13,-1.5543609171846609,-1.2590085924472798
-2314776600,22.21,22.36,21.94,22.36,-1.774066431411709,-1.5543609171846609
-2314171800,23.15,25.13,23.15,25.13,-1.338086925246066,-1.774066431411709
-2313567000,25.71,25.71,25.04,25.57,-0.622261761081474,-1.338086925246066
-2312962200,25.25,25.25,24.13,25.21,-0.06520881453893176,-0.622261761081474
-2312357400,25.73,26.51,25.73,26.51,0.5054642585572513,-0.06520881453893176
-2311752600,26.33,26.33,25.99,25.99,1.0443445521716943,0.5054642585572513
-2311147800,26.02,26.02,25.32,25.32,1.3906311732666956,1.0443445521716943
-2310543000,25.16,26.26,25.16,26.26,1.6327666654611641,1.3906311732666956
-2309938200,26.44,27.88,26.44,27.88,1.9787596638389502,1.6327666654611641
-2309333400,28.04,28.54,27.34,28.54,2.3678782341744666,1.9787596638389502
-2308728600,29.64,31.38,29.64,31.38,2.7730426467499774,2.3678782341744666
-2308123800,32.19,32.52,32.11,32.23,3.1826907604778096,2.7730426467499774
-2307519000,31.57,31.6,31.32,31.32,3.013688553504529,3.1826907604778096
-2306914200,31.11,31.11,30.35,30.35,2.524552584992369,3.013688553504529
-2306309400,29.69,30.58,29.69,30.47,2.001474316995165,2.524552584992369
-2305704600,30.11,30.26,30,30,1.5967161640629706,2.001474316995165
-2305099800,29.27,29.55,27.95,27.95,1.1430637272550759,1.5967161640629706
-2304495000,28.83,28.98,28.63,28.98,0.6747278692727835,1.1430637272550759
-2303890200,29.07,29.42,29.07,29.3,0.2730408679037187,0.6747278692727835
-2303285400,29.24,29.67,29.24,29.67,-0.11092749472540764,0.2730408679037187
-2302680600,29.51,30.61,29.51,30.61,-0.3108367067707418,-0.11092749472540764
-2302075800,30.97,31.32,30.72,30.72,-0.09999531413035057,-0.3108367067707418
-2301471000,30.35,30.58,30.33,30.46,0.15567656650086628,-0.09999531413035057
-2300866200,30.69,30.69,29.86,29.86,0.3324864778037921,0.15567656650086628
-2300261400,29.77,29.77,29.17,29.17,0.2126353324275,0.3324864778037921
-2299656600,28.78,29.2,28.78,29.17,-0.1269848959321277,0.2126353324275
-2299051800,29.47,29.9,29.12,29.9,-0.34410225153394003,-0.1269848959321277
-2298447000,30.19,30.51,29.94,30.02,-0.2842165447661073,-0.34410225153394003
-2297842200,30.35,30.45,30.14,30.45,-0.12265735460480605,-0.2842165447661073
-2297237400,30.48,30.48,29.78,29.78,-0.007606188234947346,-0.12265735460480605
-2296632600,29.98,29.98,29.02,29.02,-0.13274061011229346,-0.007606188234947346
-2296027800,28.34,28.87,28.34,28.83,-0.5091097252744409,-0.13274061011229346
-2295423000,28.78,29.24,28.66,29.12,-0.7696785352909989,-0.5091097252744409
-2294818200,28.93,29.28,28.54,28.54,-0.9727885784769134,-0.7696785352909989
-2294213400,27.88,28.18,27.88,27.88,-1.3230634840834896,-0.9727885784769134
-2293608600,28.41,28.41,28.22,28.22,-1.5392233388852832,-1.3230634840834896
-2293003800,28.09,28.67,28.09,28.67,-1.6379680902020355,-1.5392233388852832
-2292399000,28.93,28.93,28.2,28.2,-1.5830514344743776,-1.6379680902020355
-2291794200,28.01,28.39,28.01,28.12,-1.6740746753211073,-1.5830514344743776
-2291189400,28.48,28.71,28.39,28.71,-1.4855762913568018,-1.6740746753211073
-2290584600,28.98,29.35,28.98,29.35,-0.7951954093656673,-1.4855762913568018
-2289979800,29.93,30.81,29.93,30.81,-0.09365207025209282,-0.7951954093656673
-2289375000,31.11,31.19,30.7,31.19,0.539981809974997,-0.09365207025209282
-2288770200,30.87,31.43,30.87,31.35,1.1056242259411009,0.539981809974997
-2288165400,32.31,32.31,31.94,32,1.61878137395813,1.1056242259411009
-2287560600,31.58,31.98,31.58,31.98,1.9077407664436832,1.61878137395813
-2286955800,32.63,33.11,32.63,32.94,2.270473741373219,1.9077407664436832
-2286351000,33.64,34.68,33.64,34.68,2.6637955268848783,2.270473741373219
-2285746200,34.55,34.73,34.12,34.73,3.068394423220672,2.6637955268848783
-2285141400,35.37,37.46,35.37,37.46,3.476025592783852,3.068394423220672
-2284536600,37.17,37.64,37.17,37.3,3.88346343600127,3.476025592783852
-2283931800,37.8,37.8,37.34,37.41,4.289675327424969,3.88346343600127
-2283327000,37.94,38.33,37.76,38.33,4.694524695790562,4.289675327424969
-2282722200,38.55,40.39,38.55,40.3,6.147463515145481,4.694524695790562
-2282117400,40.38,40.43,40.27,40.43,6.87393292482294,6.147463515145481
-2281512600,39.55,40.28,39.55,40.17,5.395106462276772,6.87393292482294
-2280907800,39.59,39.59,38.01,38.01,3.8204332824924654,5.395106462276772
-2280303000,38.33,38.33,36.92,37.33,2.555072086067423,3.8204332824924654
-2279698200,38.14,38.14,37.2,37.4,1.5449181541561683,2.555072086067423
-2279093400,36.68,36.68,35.07,35.07,0.616194896150089,1.5449181541561683
-2278488600,35.63,36.49,35.63,36.21,-0.12339539736597521,0.616194896150089
-2277883800,35.31,35.56,35.1,35.35,-0.7586043860828702,-0.12339539736597521
-2277279000,35.57,35.57,33.12,33.12,-1.3157987258538186,-0.7586043860828702
-2276674200,33.06,34.13,33.06,33.63,-1.8193671740358668,-1.3157987258538186
-2276069400,33.66,34.24,33.66,34.24,-2.142325877207009,-1.8193671740358668
-2275464600,33.96,33.96,33.47,33.82,-2.4461526320343983,-2.142325877207009
-2274859800,33.89,35.06,33.89,34.99,-2.260717092868706,-2.4461526320343983
-2274255000,35.34,35.92,35.34,35.62,-1.7080212666760546,-2.260717092868706
-2273650200,36.07,36.07,34.87,34.87,-1.0329130297172975,-1.7080212666760546
-2273045400,35.09,35.77,34.95,35.77,-0.4924778249717091,-1.0329130297172975
-2272440600,35.7,35.79,35.64,35.79,0.11472483179778253,-0.4924778249717091
-2271835800,35.71,36.7,35.42,36.7,0.6929123985049653,0.11472483179778253
-2271231000,36.6,36.6,35.94,35.94,1.2265124928887043,0.6929123985049653
-2270626200,35.75,35.75,35.35,35.43,1.333938261052959,1.2265124928887043
-2270021400,34.76,36.05,34.76,35.72,1.2435390830180375,1.333938261052959
-2269416600,36.22,36.22,35.88,36.08,1.3112080222272096,1.2435390830180375
-2268811800,36.29,36.33,35.94,36.31,1.4011664186348787,1.3112080222272096
-2268207000,35.84,36.24,35.19,35.19,1.0674448331703037,1.4011664186348787
-2267602200,34.12,34.12,32.35,32.82,0.43877127792387016,1.0674448331703037
-2266997400,33.44,34.38,33.43,33.43,-0.03360367739744724,0.43877127792387016
-2266392600,32.49,32.96,32.19,32.19,-0.5607580436969016,-0.03360367739744724
-2265787800,32.4,32.98,32.16,32.49,-1.077286754609544,-0.5607580436969016
-2265183000,32.23,32.23,30.42,30.42,-1.568233737954574,-1.077286754609544
-2264578200,32.84,33.42,31.97,31.97,-1.5776840806603043,-1.568233737954574
-2263973400,33.01,33.33,32.63,32.94,-1.400645601572875,-1.5776840806603043
-2263368600,33.28,33.55,32.73,32.86,-1.1804822220114006,-1.400645601572875
-2262763800,32.53,32.53,31.34,31.77,-1.190677932980746,-1.1804822220114006
-2262159000,31.88,33.13,31.88,33.13,-1.0049836625137518,-1.190677932980746
-2261554200,35.2,35.8,34.98,35.6,-0.43245206635821565,-1.0049836625137518
-2260949400,36.97,37.39,36.55,36.81,0.18015718538116948,-0.43245206635821565
-2260344600,36.45,37.13,36.45,36.75,0.7250185288412383,0.18015718538116948
-2259739800,37.47,37.87,37.47,37.72,1.2420072290828286,0.7250185288412383
-2259135000,38.2,38.65,38.2,38.22,1.7283781635475277,1.2420072290828286
-2258530200,38.62,38.9,38.47,38.9,2.1895003190401954,1.7283781635475277
-2257925400,38.1,38.1,36.84,37.76,2.1737451949713336,2.1895003190401954
-2257320600,37.59,37.67,37.21,37.67,2.0361597710319135,2.1737451949713336
-2256715800,38.14,38.39,37.98,38.39,2.0434387822526157,2.0361597710319135
-2256111000,38.38,38.57,38.23,38.57,2.093631375470249,2.0434387822526157
-2255506200,38.64,38.64,38.04,38.04,1.9956670743615246,2.093631375470249
-2254901400,37.86,38.48,37.86,38.39,1.7661324208959357,1.9956670743615246
-2254296600,38.87,39.23,38.87,39.12,1.885894141935625,1.7661324208959357
-2253691800,39.54,40.45,39.54,40.45,2.1677392593932647,1.885894141935625
-2253087000,40.78,41,40.71,40.71,2.522945833537289,2.1677392593932647
-2252482200,41.64,42.8,41.64,42.8,2.909982212564813,2.522945833537289
-2251877400,43.01,44.16,43.01,44.16,3.3098061220505004,2.909982212564813
-2251272600,43.14,43.82,43.14,43.73,3.5426312468801964,3.3098061220505004
-2250667800,43.57,43.57,41.84,41.84,3.075158849262609,3.5426312468801964
-2250063000,42.06,42.28,41.59,42.04,2.418553907313063,3.075158849262609
