cycles,correlation
[1],0.4760935910478128
[3],0.5015259409969481
[5],0.4811800610376399
[7],0.4923702950152594
[9],0.49440488301119023
[10],0.46897253306205494
[19],0.5045778229908443
[20],0.49745676500508645
[30],0.3641912512716175
[45],0.4821973550356053
[1,3],0.48353293413173654
[1,5],0.46579804560260585
[1,7],0.47429519071310117
[1,9],0.4750430292598967
[1,10],0.4532871972318339
[1,19],0.48300536672629696
[1,20],0.4759259259259259
[1,30],0.3481624758220503
[1,45],0.4618249534450652
[3,5],0.484573502722323
[3,7],0.49477351916376305
[3,9],0.49701492537313435
[3,10],0.47162426614481406
[3,19],0.5060240963855421
[3,20],0.49899396378269617
[3,30],0.37822878228782286
[3,45],0.48586572438162545
[5,7],0.4762773722627737
[5,9],0.4784172661870504
[5,10],0.4682230869001297
[5,19],0.48497854077253216
[5,20],0.48335974643423135
[5,30],0.36428571428571427
[5,45],0.4704918032786885
[7,9],0.4868686868686869
[7,10],0.459915611814346
[7,19],0.49710982658959535
[7,20],0.49
[7,30],0.3587174348697395
[7,45],0.4758220502901354
[9,10],0.46484375
[9,19],0.49896907216494846
[9,20],0.492
[9,30],0.35610766045548653
[9,45],0.4821705426356589
[10,19],0.4721030042918455
[10,20],0.4772413793103448
[10,30],0.3651315789473684
[10,45],0.45294117647058824
[19,20],0.5021008403361344
[19,30],0.35824175824175825
[19,45],0.4868686868686869
[20,30],0.375
[20,45],0.48023715415019763
[30,45],0.33763440860215055
[1,3,5],0.48
[1,3,7],0.4733178654292343
[1,3,9],0.4807692307692308
[1,3,10],0.4599483204134367
[1,3,19],0.48517520215633425
[1,3,20],0.4903047091412742
[1,3,30],0.3575268817204301
[1,3,45],0.46446700507614214
[1,5,7],0.4731457800511509
[1,5,9],0.453125
[1,5,10],0.45510204081632655
[1,5,19],0.47865853658536583
[1,5,20],0.48129675810473815
[1,5,30],0.3531073446327684
[1,5,45],0.4524421593830334
[1,7,9],0.46839080459770116
[1,7,10],0.4494047619047619
[1,7,19],0.47564469914040114
[1,7,20],0.48484848484848486
[1,7,30],0.3522012578616352
[1,7,45],0.47181008902077154
[1,9,10],0.45930232558139533
[1,9,19],0.4766355140186916
[1,9,20],0.47962382445141066
[1,9,30],0.3311036789297659
[1,9,45],0.46153846153846156
[1,10,19],0.45161290322580644
[1,10,20],0.4790697674418605
[1,10,30],0.35
[1,10,45],0.4236760124610592
[1,19,20],0.5033783783783784
[1,19,30],0.354014598540146
[1,19,45],0.48026315789473684
[1,20,30],0.36893203883495146
[1,20,45],0.43666666666666665
[1,30,45],0.30970149253731344
[3,5,7],0.4985507246376812
[3,5,9],0.4836272040302267
[3,5,10],0.47058823529411764
[3,5,19],0.4924812030075188
[3,5,20],0.49712643678160917
[3,5,30],0.373134328358209
[3,5,45],0.478494623655914
[3,7,9],0.49206349206349204
[3,7,10],0.4652777777777778
[3,7,19],0.4967105263157895
[3,7,20],0.5
[3,7,30],0.379746835443038
[3,7,45],0.49851632047477745
[3,9,10],0.476056338028169
[3,9,19],0.48955223880597015
[3,9,20],0.49707602339181284
[3,9,30],0.3651685393258427
[3,9,45],0.48775055679287305
[3,10,19],0.4634146341463415
[3,10,20],0.49066666666666664
[3,10,30],0.36578171091445427
[3,10,45],0.44039735099337746
[3,19,20],0.4918032786885246
[3,19,30],0.37890625
[3,19,45],0.4930555555555556
[3,20,30],0.39
[3,20,45],0.48464163822525597
[3,30,45],0.3389830508474576
[5,7,9],0.45454545454545453
[5,7,10],0.454320987654321
[5,7,19],0.4727272727272727
[5,7,20],0.46839080459770116
[5,7,30],0.3557692307692308
[5,7,45],0.4595375722543353
[5,9,10],0.4696261682242991
[5,9,19],0.48091603053435117
[5,9,20],0.4914772727272727
[5,9,30],0.35714285714285715
[5,9,45],0.46618357487922707
[5,10,19],0.475
[5,10,20],0.4772727272727273
[5,10,30],0.3514644351464435
[5,10,45],0.45154185022026433
[5,19,20],0.5152542372881356
[5,19,30],0.36947791164658633
[5,19,45],0.46938775510204084
[5,20,30],0.35638297872340424
[5,20,45],0.4790575916230366
[5,30,45],0.3374233128834356
[7,9,10],0.44176706827309237
[7,9,19],0.49224806201550386
[7,9,20],0.47265625
[7,9,30],0.3643724696356275
[7,9,45],0.47477744807121663
[7,10,19],0.46218487394957986
[7,10,20],0.4692737430167598
[7,10,30],0.34448160535117056
[7,10,45],0.40540540540540543
[7,19,20],0.4765625
[7,19,30],0.363265306122449
