cycles,correlation,hits,total
[1],1,364,364
[3],1,364,364
[5],1,364,364
[7],1,364,364
[9],1,364,364
[10],1,364,364
[19],1,364,364
[20],1,364,364
[30],1,364,364
[45],1,364,364
[10,20],0.9752747252747253,355,364
[5,10],0.9478021978021978,345,364
[1,7],0.9395604395604396,342,364
[9,45],0.9395604395604396,342,364
[1,45],0.9313186813186813,339,364
[5,20],0.9313186813186813,339,364
[7,45],0.9313186813186813,339,364
[5,45],0.9285714285714286,338,364
[1,3],0.9175824175824175,334,364
[3,45],0.9120879120879121,332,364
[30,45],0.9093406593406593,331,364
[1,5],0.9010989010989011,328,364
[19,45],0.8983516483516484,327,364
[5,10,20],0.8983516483516484,327,364
[20,45],0.8873626373626373,323,364
[3,7],0.8846153846153846,322,364
[5,30],0.8763736263736264,319,364
[1,30],0.8736263736263736,318,364
[3,9],0.8736263736263736,318,364
[10,30],0.8708791208791209,317,364
[10,45],0.8708791208791209,317,364
[3,30],0.8626373626373627,314,364
[7,30],0.8598901098901099,313,364
[1,10],0.8571428571428571,312,364
[1,19],0.8571428571428571,312,364
[20,30],0.8571428571428571,312,364
[1,9],0.8543956043956044,311,364
[1,20],0.8489010989010989,309,364
[5,7],0.8489010989010989,309,364
[7,9],0.8489010989010989,309,364
[3,5],0.8461538461538461,308,364
[1,7,45],0.8461538461538461,308,364
[5,9],0.8434065934065934,307,364
[9,30],0.8379120879120879,305,364
[10,20,45],0.8351648351648352,304,364
[5,10,45],0.8241758241758241,300,364
[9,19],0.8214285714285714,299,364
[19,20],0.8186813186813187,298,364
[1,3,45],0.8186813186813187,298,364
[1,5,45],0.8186813186813187,298,364
[1,3,7],0.8159340659340659,297,364
[7,20],0.8131868131868132,296,364
[5,20,45],0.8131868131868132,296,364
[10,20,30],0.8104395604395604,295,364
[1,10,20],0.804945054945055,293,364
[5,10,30],0.804945054945055,293,364
[1,5,10],0.8021978021978022,292,364
[9,20],0.7994505494505495,291,364
[7,10],0.7967032967032966,290,364
[1,5,7],0.7967032967032966,290,364
[7,19],0.7939560439560439,289,364
[3,19],0.7912087912087912,288,364
[3,20],0.7912087912087912,288,364
[3,7,45],0.7912087912087912,288,364
[10,19],0.7884615384615384,287,364
[3,9,45],0.7884615384615384,287,364
[1,5,20],0.782967032967033,285,364
[1,7,30],0.782967032967033,285,364
[1,9,45],0.782967032967033,285,364
[5,20,30],0.7802197802197802,284,364
[5,30,45],0.7802197802197802,284,364
[7,9,45],0.7802197802197802,284,364
[19,30],0.7774725274725275,283,364
[3,10],0.7747252747252747,282,364
[5,19],0.7747252747252747,282,364
[1,3,5],0.7747252747252747,282,364
[9,30,45],0.7747252747252747,282,364
[9,10],0.771978021978022,281,364
[1,30,45],0.771978021978022,281,364
[5,10,20,45],0.771978021978022,281,364
[3,5,45],0.7692307692307693,280,364
[5,9,45],0.7692307692307693,280,364
[1,3,9],0.7637362637362637,278,364
[5,7,45],0.7637362637362637,278,364
[7,30,45],0.7637362637362637,278,364
[1,3,30],0.760989010989011,277,364
[3,30,45],0.760989010989011,277,364
[1,5,30],0.7582417582417582,276,364
[3,7,30],0.7527472527472527,274,364
[5,10,20,30],0.7527472527472527,274,364
[1,7,9],0.75,273,364
[1,19,45],0.7472527472527473,272,364
[1,10,45],0.7445054945054945,271,364
[1,20,45],0.7445054945054945,271,364
[1,5,10,20],0.7445054945054945,271,364
[10,30,45],0.7417582417582418,270,364
[1,7,10],0.739010989010989,269,364
[7,10,20],0.739010989010989,269,364
[20,30,45],0.739010989010989,269,364
[9,19,45],0.7362637362637363,268,364
[1,7,20],0.7335164835164835,267,364
[5,7,10],0.7335164835164835,267,364
[10,19,20],0.7335164835164835,267,364
[3,7,9],0.7307692307692307,266,364
[5,7,20],0.728021978021978,265,364
[1,5,9],0.7252747252747253,264,364
[1,3,7,45],0.7252747252747253,264,364
[1,7,19],0.7225274725274725,263,364
[3,5,10],0.7225274725274725,263,364
[3,5,7],0.7197802197802198,262,364
[5,9,10],0.7197802197802198,262,364
[9,10,20],0.7197802197802198,262,364
[3,5,30],0.717032967032967,261,364
[3,10,20],0.717032967032967,261,364
[7,20,45],0.717032967032967,261,364
[9,20,45],0.717032967032967,261,364
[1,10,30],0.7142857142857143,260,364
[5,7,30],0.7142857142857143,260,364
[3,5,20],0.7115384615384616,259,364
[1,3,10],0.7087912087912088,258,364
[5,9,20],0.7087912087912088,258,364
[1,3,20],0.7032967032967034,256,364
[1,20,30],0.7032967032967034,256,364
[1,9,30],0.7005494505494505,255,364
[7,19,45],0.7005494505494505,255,364
[1,5,7,45],0.7005494505494505,255,364
[1,5,10,45],0.7005494505494505,255,364
[1,3,19],0.6978021978021978,254,364
[5,9,30],0.6978021978021978,254,364
[7,10,45],0.6978021978021978,254,364
[3,9,30],0.695054945054945,253,364
[3,20,45],0.6923076923076923,252,364
[1,3,5,45],0.6923076923076923,252,364
[1,10,20,45],0.6923076923076923,252,364
[1,5,19],0.6895604395604396,251,364
[5,10,30,45],0.6895604395604396,251,364
[3,5,9],0.6868131868131868,250,364
[5,10,19],0.6868131868131868,250,364
[7,9,30],0.6868131868131868,250,364
[5,7,9],0.6840659340659341,249,364
[19,20,45],0.6840659340659341,249,364
[1,5,20,45],0.6840659340659341,249,364
[1,7,9,45],0.6840659340659341,249,364
[1,7,30,45],0.6840659340659341,249,364
[10,20,30,45],0.6840659340659341,249,364
[1,3,9,45],0.6813186813186813,248,364
[7,20,30],0.6785714285714286,247,364
[9,10,45],0.6785714285714286,247,364
[1,3,7,30],0.6785714285714286,247,364
[5,7,10,20],0.6785714285714286,247,364
[3,19,45],0.6758241758241759,246,364
[5,19,45],0.6758241758241759,246,364
[7,10,30],0.6758241758241759,246,364
[1,5,7,10],0.6758241758241759,246,364
[5,20,30,45],0.6758241758241759,246,364
[1,7,10,20],0.6730769230769231,245,364
[1,9,19],0.6703296703296703,244,364
[3,20,30],0.6703296703296703,244,364
