time,open,high,low,close,Plot
1614360600,3852.76,3857.81,3833.23,3850.71,3850.71
1614364200,3850.8,3852,3816.63,3823.69,3823.69
1614367800,3823.7,3849.12,3821.08,3830.8,3830.8
1614371400,3830.87,3853.07,3809.32,3811.15,3811.15
1614609000,3842.51,3889.82,3842.51,3886.1,3886.1
1614612600,3886.14,3899.66,3885.38,3893.3,3893.3
1614616200,3893.52,3902.01,3893.25,3899.38,3899.38
1614619800,3899.18,3902.15,3888.59,3895.76,3895.76
1614623400,3895.73,3910.11,3895.73,3909.3,3909.3
1614627000,3909.43,3914.5,3906.04,3908.64,3908.64
1614630600,3908.63,3910.28,3896.1,3901.82,3901.82
1614695400,3903.64,3906.41,3882.02,3882.02,3882.02
1614699000,3881.93,3889.85,3875.63,3885.3,3885.3
1614702600,3885.36,3891.14,3871.96,3887.92,3887.92
1614706200,3887.95,3899.43,3887.57,3896.38,3896.38
1614709800,3896.41,3902.65,3888.66,3888.73,3888.73
1614713400,3888.74,3898.99,3884.18,3884.18,3884.18
1614717000,3884.09,3887.46,3868.57,3870.29,3870.29
1614781800,3863.99,3874.47,3837.71,3846.55,3846.55
1614785400,3845.93,3868.99,3839.29,3868.95,3868.95
1614789000,3868.9,3869.86,3852.83,3854.12,3854.12
1614792600,3854.25,3863.1,3849.09,3859.69,3859.69
1614796200,3859.7,3859.7,3835.43,3837.4,3837.4
1614799800,3837.37,3848.14,3827.77,3834.75,3834.75
1614803400,3835.13,3841.89,3818.86,3819.72,3819.72
1614868200,3818.53,3838.62,3790.08,3808.04,3808.04
1614871800,3807.76,3832.75,3805.18,3824.6,3824.6
1614875400,3824.64,3843.67,3801.65,3809.8,3809.8
1614879000,3809.95,3811.73,3755.14,3771.64,3771.64
1614882600,3771.53,3771.53,3723.34,3765.67,3765.67
1614886200,3765.54,3779.28,3749.2,3763.35,3763.35
1614889800,3763.31,3775.68,3757.88,3768.47,3768.47
1614954600,3793.58,3808.01,3762.54,3765.35,3765.35
1614958200,3765.31,3773.09,3730.19,3734.37,3734.37
1614961800,3734.27,3785.83,3734.27,3784.43,3784.43
1614965400,3784.38,3813.83,3779.97,3811.65,3811.65
1614969000,3811.93,3823.26,3804.3,3821.48,3821.48
1614972600,3821.27,3840.61,3821.27,3837.26,3837.26
1614976200,3837.24,3851.69,3834.81,3841.94,3841.94
1615213800,3844.39,3873.14,3833.48,3872.09,3872.09
1615217400,3871.87,3878.07,3864.61,3876.24,3876.24
1615221000,3876.28,3876.63,3855.9,3873.53,3873.53
1615224600,3873.58,3881.06,3871.76,3877.7,3877.7
1615228200,3877.75,3878.13,3846.75,3862.29,3862.29
1615231800,3862.28,3865.02,3832.57,3835.33,3835.33
1615235400,3835.31,3846.81,3819.25,3821.35,3821.35
1615300200,3851.93,3890.46,3851.93,3887.23,3887.23
1615303800,3887.64,3894.22,3884.9,3891.33,3891.33
1615307400,3891.28,3900.91,3888.47,3900.12,3900.12
1615311000,3900.1,3902.86,3893.1,3898.45,3898.45
1615314600,3898.39,3903.76,3893.93,3894.53,3894.53
1615318200,3894.55,3902.61,3894.11,3894.68,3894.68
1615321800,3894.69,3894.8,3873.94,3875.44,3875.44
1615386600,3891.99,3912.54,3888.23,3888.39,3888.39
1615390200,3888.49,3904.2,3885.73,3903.17,3903.17
1615393800,3903.22,3909.77,3895.21,3899.24,3899.24
1615397400,3899.32,3910.88,3894.16,3907.13,3907.13
1615401000,3907.32,3910.35,3896.28,3907.63,3907.63
1615404600,3907.56,3917.35,3904.6,3904.63,3904.63
1615408200,3904.6,3908.06,3897.36,3898.81,3898.81
1615473000,3915.54,3936.63,3915.54,3933.82,3933.82
1615476600,3933.84,3954.47,3933.69,3951.97,3951.97
1615480200,3951.99,3957.95,3950.49,3953.62,3953.62
1615483800,3953.74,3960.27,3949.59,3952.59,3952.59
1615487400,3952.61,3955.63,3948.43,3953.89,3953.89
1615491000,3953.94,3954.77,3942.14,3945.31,3945.31
1615494600,3945.32,3945.51,3937.05,3939.34,3939.34
1615559400,3924.52,3933.88,3915.77,3920.33,3920.33
1615563000,3920.12,3928.54,3915.21,3925.16,3925.16
1615566600,3925.15,3932.92,3922.11,3932.92,3932.92
1615570200,3933.09,3935.61,3925.57,3933.74,3933.74
1615573800,3933.76,3934.65,3929.43,3933.04,3933.04
1615577400,3933.05,3938.65,3931.36,3937.38,3937.38
1615581000,3937.36,3944.99,3937.36,3943.34,3943.34
1615815000,3942.96,3949.99,3935.97,3939.29,3939.29
1615818600,3939.33,3944.66,3931.87,3932.96,3932.96
1615822200,3932.87,3939.85,3923.54,3939.57,3939.57
1615825800,3939.54,3945.45,3938.56,3944.55,3944.55
1615829400,3944.57,3956.22,3944.02,3955.97,3955.97
1615833000,3956.01,3957.87,3948.82,3950.1,3950.1
1615836600,3950.11,3970.08,3947.98,3968.94,3968.94
1615901400,3973.59,3979.23,3970.84,3978.59,3978.59
1615905000,3978.64,3981.04,3973.06,3975.78,3975.78
1615908600,3975.82,3977.26,3963.31,3965.68,3965.68
1615912200,3965.72,3976.02,3965.02,3972.31,3972.31
1615915800,3972.37,3972.63,3955.98,3956.68,3956.68
1615919400,3956.73,3968.04,3953.44,3965.24,3965.24
1615923000,3965.26,3972.79,3961.48,3962.71,3962.71
1615987800,3949.57,3951.76,3940.23,3949.96,3949.96
1615991400,3949.94,3949.94,3935.74,3945.09,3945.09
1615995000,3944.74,3949.61,3941.22,3947.85,3947.85
1615998600,3947.94,3947.97,3940.62,3945,3945
1616002200,3945.16,3971.24,3940.17,3956.24,3956.24
1616005800,3956.13,3983.87,3953.97,3974.12,3974.12
1616009400,3974.18,3980.11,3967.15,3974.12,3974.12
1616074200,3953.5,3956.65,3943.37,3953.48,3953.48
1616077800,3953.04,3960.72,3948.12,3960.32,3960.32
1616081400,3960.45,3969.62,3956.45,3965.81,3965.81
1616085000,3965.82,3966.18,3947.57,3958.38,3958.38
1616088600,3958.39,3963.69,3941.19,3941.52,3941.52
1616092200,3941.49,3944.55,3922.29,3930.46,3930.46
1616095800,3930.53,3931.75,3910.86,3915.46,3915.46
1616160600,3913.14,3916.33,3886.75,3903.05,3903.05
1616164200,3903.03,3915.1,3893.21,3904.58,3904.58
1616167800,3904.59,3924.41,3903.05,3921.33,3921.33
1616171400,3921.32,3927.09,3917.59,3924.46,3924.46
1616175000,3924.45,3928.59,3917.35,3923.05,3923.05
1616178600,3923.12,3930.12,3920.35,3922.82,3922.82
1616182200,3922.91,3927.9,3911.14,3913.1,3913.1
1616419800,3916.48,3931.73,3914.16,3928.97,3928.97
1616423400,3929.1,3939.24,3928.37,3935.96,3935.96
1616427000,3936.2,3944.45,3936.2,3944.45,3944.45
1616430600,3944.47,3947.41,3942.66,3945.12,3945.12
1616434200,3945.14,3950.5,3945.14,3949.89,3949.89
1616437800,3949.91,3955.31,3945.53,3945.78,3945.78
1616441400,3945.86,3947.21,3938.71,3940.59,3940.59
1616506200,3937.6,3944.84,3931.01,3942.12,3942.12
1616509800,3941.83,3949.06,3927.35,3947.9,3947.9
1616513400,3947.94,3949.13,3936.7,3940.57,3940.57
1616517000,3940.62,3947.73,3937.33,3944.8,3944.8
1616520600,3944.81,3944.98,3930.11,3935.96,3935.96
1616524200,3935.94,3937.35,3905.25,3908.69,3908.69
1616527800,3908.63,3912.36,3901.57,3910.52,3910.52
1616592600,3919.93,3934.23,3917.68,3922.89,3922.89
1616596200,3922.88,3942.08,3920.32,3935.94,3935.94
1616599800,3935.97,3937.06,3926.55,3936.05,3936.05
1616603400,3936.1,3937.27,3914.57,3921.85,3921.85
1616607000,3921.95,3928.76,3913.92,3918.88,3918.88
1616610600,3918.75,3920.26,3907.47,3908.47,3908.47
1616614200,3908.45,3908.94,3889.07,3889.14,3889.14
1616679000,3879.34,3887.14,3864.63,3875.36,3875.36
1616682600,3875.33,3877.22,3853.5,3870.06,3870.06
1616686200,3870.27,3893.11,3865.18,3890.65,3890.65
1616689800,3890.91,3901.43,3888.18,3892.24,3892.24
1616693400,3892.26,3899.51,3880.51,3880.71,3880.71
1616697000,3880.74,3910.78,3880.74,3909.02,3909.02
1616700600,3909.01,3919.54,3907.29,3909.52,3909.52
1616765400,3917.12,3935.59,3917.12,3935.59,3935.59
1616769000,3935.6,3938.3,3920.34,3923.44,3923.44
1616772600,3923.83,3936.55,3921.92,3936.24,3936.24
1616776200,3936.29,3944.39,3935.5,3942.79,3942.79
1616779800,3942.78,3944.03,3918.01,3930.32,3930.32
1616783400,3930.3,3943.27,3917.63,3943.23,3943.23
1616787000,3943.17,3978.19,3943.17,3974.54,3974.54
1617024600,3969.31,3972.12,3947.31,3947.31,3947.31
1617028200,3946.9,3955.85,3943.25,3954.12,3954.12
1617031800,3954.18,3963.52,3950.6,3958.49,3958.49
1617035400,3958.53,3979.72,3957.11,3971.32,3971.32
1617039000,3971.33,3980.75,3966.65,3970.61,3970.61
1617042600,3970.53,3981.83,3963.79,3980.63,3980.63
1617046200,3980.66,3981.12,3966.83,3971.09,3971.09
1617111000,3963.34,3963.34,3944.35,3956.62,3956.62
1617114600,3956.7,3962.93,3955.52,3959.02,3959.02
1617118200,3959.03,3963.3,3949.4,3953.85,3953.85
1617121800,3953.87,3957.47,3948.6,3956.12,3956.12
1617125400,3956.25,3958.73,3951.49,3956.88,3956.88
1617129000,3956.86,3968.01,3955.63,3964.91,3964.91
1617132600,3964.87,3967.64,3948.77,3958.55,3958.55
1617197400,3967.25,3979.52,3966.98,3974.82,3974.82
1617201000,3974.87,3984.21,3974.36,3980.13,3980.13
1617204600,3980.03,3988.91,3979.4,3987.53,3987.53
1617208200,3987.49,3994.02,3987.49,3992.47,3992.47
1617211800,3992.48,3994.41,3985.42,3988.38,3988.38
1617215400,3988.36,3991.59,3985.99,3986.85,3986.85
1617219000,3986.78,3989.46,3972.89,3972.89,3972.89
1617283800,3992.78,4006.5,3992.78,4006.47,4006.47
1617287400,4006.46,4009.88,4002.5,4006.55,4006.55
1617291000,4006.54,4012.2,4005.14,4011.77,4011.77
1617294600,4011.79,4012.75,4007.38,4008.01,4008.01
1617298200,4007.94,4013.64,4007.77,4013.03,4013.03
1617301800,4013.02,4014.34,4008.62,4010.34,4010.34
1617305400,4010.35,4020.63,4009.05,4019.87,4019.87
1617629400,4034.44,4069.17,4034.44,4067.52,4067.52
1617633000,4067.53,4074.72,4067.44,4071.55,4071.55
1617636600,4071.61,4080.43,4071.38,4079.93,4079.93
1617640200,4079.9,4083.42,4075.83,4076.7,4076.7
1617643800,4076.72,4080.06,4075.33,4078.18,4078.18
1617647400,4078.14,4082.05,4071.56,4074.04,4074.04
1617651000,4074.01,4081.7,4072.31,4077.91,4077.91
1617715800,4075.57,4085.69,4069.61,4083.18,4083.18
1617719400,4082.85,4085.14,4079.29,4082.96,4082.96
1617723000,4083.04,4086.23,4081.33,4082.9,4082.9
1617726600,4082.87,4083.09,4072.74,4074.17,4074.17
1617730200,4074.16,4081.66,4072.99,4080.77,4080.77
1617733800,4080.74,4081.67,4073.31,4076.21,4076.21
1617737400,4076.26,4077.05,4068.14,4073.94,4073.94
1617802200,4074.29,4081.67,4072.91,4081.66,4081.66
1617805800,4081.71,4083.13,4075.15,4076.01,4076.01
1617809400,4075.97,4076.21,4069.05,4069.05,4069.05
1617813000,4069,4076.42,4068.31,4073.92,4073.92
1617816600,4073.91,4082.48,4073.25,4079.69,4079.69
1617820200,4079.67,4081.41,4072.24,4073.97,4073.97
1617823800,4073.92,4080.54,4071.19,4079.95,4079.95
1617888600,4089.95,4093.87,4082.54,4087.2,4087.2
1617892200,4087.23,4092.33,4086.86,4091.42,4091.42
1617895800,4091.44,4096.45,4089.28,4094.57,4094.57
1617899400,4094.61,4096.21,4092.67,4093.94,4093.94
1617903000,4093.96,4096.82,4091.5,4096.13,4096.13
1617906600,4096.03,4098.19,4095.43,4095.97,4095.97
1617910200,4095.9,4097.46,4093.62,4097.17,4097.17
1617975000,4096.11,4105.24,4095.51,4099.69,4099.69
1617978600,4099.7,4103.55,4097.15,4101.75,4101.75
1617982200,4101.79,4107.25,4101.52,4105.2,4105.2
1617985800,4105.18,4108.28,4105.02,4107.35,4107.35
1617989400,4107.33,4112.08,4107.17,4110.09,4110.09
1617993000,4110.1,4117.88,4107.7,4117.88,4117.88
1617996600,4118.03,4129.48,4118.03,4128.8,4128.8
1618234200,4124.71,4127.97,4117.49,4121.21,4121.21
1618237800,4121.19,4123.04,4114.82,4122.66,4122.66
1618241400,4122.94,4126.08,4119.23,4125.69,4125.69
1618245000,4125.6,4130.33,4124.57,4125.21,4125.21
1618248600,4125.08,4125.18,4119.08,4123.79,4123.79
1618252200,4123.8,4124.28,4118.21,4122.73,4122.73
1618255800,4122.77,4131.76,4121.51,4127.99,4127.99
1618320600,4130.1,4134.18,4124.43,4132.31,4132.31
1618324200,4132.33,4134.84,4130.18,4133.09,4133.09
1618327800,4133.17,4134.98,4130.41,4132.77,4132.77
1618331400,4132.74,4134.07,4128.99,4132.73,4132.73
1618335000,4132.74,4139.8,4132.57,4139.7,4139.7
1618338600,4139.69,4148,4139.55,4146.53,4146.53
1618342200,4146.54,4146.92,4140.23,4141.59,4141.59
1618407000,4141.58,4150.94,4137.77,4145.33,4145.33
1618410600,4145.34,4151.69,4139.88,4143.66,4143.66
1618414200,4143.81,4146.78,4141.62,4143.52,4143.52
1618417800,4143.43,4147.92,4143.1,4145.15,4145.15
1618421400,4145.17,4145.17,4124.32,4136.11,4136.11
1618425000,4136.12,4136.91,4121.2,4131.74,4131.74
1618428600,4131.71,4133.25,4120.87,4124.66,4124.66
1618493400,4139.76,4157.41,4139.76,4157.41,4157.41
1618497000,4157.6,4166.65,4157.6,4159.02,4159.02
1618500600,4159.05,4164.44,4158.07,4163.9,4163.9
1618504200,4163.89,4169.14,4163.23,4165.02,4165.02
1618507800,4165.03,4169.17,4164.93,4168.62,4168.62
1618511400,4168.57,4169.58,4161.46,4161.99,4161.99
1618515000,4162.07,4173.49,4161.92,4170.42,4170.42
1618579800,4174.14,4187.16,4170.75,4177.06,4177.06
1618583400,4177.13,4182.19,4175.5,4175.77,4175.77
1618587000,4175.76,4180.92,4174.86,4179.96,4179.96
1618590600,4179.93,4180.75,4176.79,4177.77,4177.77
1618594200,4177.75,4183.72,4176.6,4182.9,4182.9
1618597800,4182.89,4188.21,4182.89,4187.31,4187.31
1618601400,4187.32,4191.31,4183.81,4185.47,4185.47
1618839000,4179.8,4180.81,4163.07,4170.99,4170.99
1618842600,4171.01,4172.72,4156.67,4168.64,4168.64
1618846200,4168.62,4168.86,4155.2,4157.52,4157.52
1618849800,4157.5,4161.96,4150.47,4158.72,4158.72
1618853400,4158.7,4163.22,4156.32,4162.64,4162.64
1618857000,4162.67,4163.95,4154.97,4155.7,4155.7
1618860600,4155.71,4164.16,4153.94,4163.26,4163.26
1618925400,4159.18,4159.18,4149.43,4151.25,4151.25
1618929000,4151.31,4151.31,4123.5,4127.12,4127.12
1618932600,4127.29,4135.9,4118.38,4133.5,4133.5
1618936200,4133.52,4134.26,4124.71,4124.92,4124.92
1618939800,4124.94,4133.05,4124.43,4127.53,4127.53
1618943400,4127.47,4132.09,4119.07,4131.01,4131.01
1618947000,4131.05,4138.5,4130.19,4134.94,4134.94
1619011800,4128.42,4153.07,4126.35,4152.51,4152.51
1619015400,4152.46,4155.69,4147.1,4154.74,4154.74
1619019000,4154.66,4161.67,4154.53,4157.87,4157.87
1619022600,4157.83,4161.68,4156.25,4160,4160
1619026200,4159.84,4165.06,4159.84,4162.08,4162.08
1619029800,4162.07,4164.57,4160.17,4163.65,4163.65
1619033400,4163.77,4175.02,4163.77,4173.42,4173.42
1619098200,4170.46,4170.46,4157.51,4165.3,4165.3
1619101800,4165.35,4174.19,4165.2,4171.63,4171.63
1619105400,4171.51,4176.28,4169.96,4175.6,4175.6
1619109000,4175.59,4179.57,4144.07,4159.12,4159.12
1619112600,4159.1,4159.1,4123.69,4142.37,4142.37
1619116200,4142.47,4145.98,4129.98,4133.34,4133.34
1619119800,4133.48,4142.19,4132.6,4134.98,4134.98
1619184600,4138.78,4156.38,4138.78,4154.85,4154.85
1619188200,4154.92,4175.19,4154.25,4173.37,4173.37
1619191800,4173.46,4177.44,4172.5,4176.27,4176.27
1619195400,4176.31,4184.97,4176.29,4182.58,4182.58
1619199000,4182.62,4185.98,4180.12,4182.03,4182.03
1619202600,4182.1,4190.25,4181.47,4189.62,4189.62
1619206200,4189.6,4194.17,4179.31,4180.17,4180.17
1619443800,4185.03,4194.16,4184.81,4190.28,4190.28
1619447400,4190.23,4193.49,4188.47,4191.56,4191.56
1619451000,4191.57,4191.72,4185.24,4186.26,4186.26
1619454600,4186.28,4190.23,4185.36,4186.06,4186.06
1619458200,4185.98,4191.53,4185.42,4191.48,4191.48
1619461800,4191.34,4194.19,4184.76,4185.17,4185.17
1619465400,4185.16,4191.11,4182.36,4187.62,4187.62
1619530200,4188.25,4192.65,4176.22,4183.86,4183.86
1619533800,4183.94,4185.49,4177.91,4184.27,4184.27
1619537400,4184.26,4189.33,4183.55,4188.9,4188.9
1619541000,4188.93,4188.93,4182,4185.62,4185.62
1619544600,4185.61,4187.65,4182.81,4187.62,4187.62
1619548200,4187.65,4191.25,4185.35,4190.42,4190.42
1619551800,4190.44,4193.35,4185.29,4186.72,4186.72
1619616600,4185.14,4197.04,4185.14,4193.73,4193.73
1619620200,4193.7,4194.33,4189.52,4191.28,4191.28
1619623800,4191.27,4191.51,4183.65,4188.19,4188.19
1619627400,4188.2,4191.22,4187.69,4190.22,4190.22
1619631000,4190.23,4193.93,4181.78,4188.5,4188.5
1619634600,4188.54,4201.53,4184.18,4191.77,4191.77
1619638200,4191.78,4193.56,4182.17,4183.18,4183.18
1619703000,4206.14,4218.78,4198.45,4200.17,4200.17
1619706600,4200.23,4200.93,4187.69,4196.56,4196.56
1619710200,4196.5,4196.58,4176.81,4183.11,4183.11
1619713800,4183.06,4196.99,4180.86,4196.07,4196.07
1619717400,4196.15,4205.17,4192.93,4204.51,4204.51
1619721000,4204.53,4216.11,4204.53,4207.53,4207.53
1619724600,4207.54,4214.25,4207.04,4211.47,4211.47
1619789400,4198.1,4198.1,4185.52,4196.55,4196.55
1619793000,4196.57,4196.58,4180.11,4180.57,4180.57
1619796600,4180.52,4189.89,4178.65,4187.9,4187.9
1619800200,4188.06,4189.11,4182.45,4188.51,4188.51
1619803800,4188.52,4189.98,4175.6,4184.13,4184.13
1619807400,4184.1,4186.06,4177.41,4185.86,4185.86
1619811000,4186.02,4186.68,4174.85,4181.17,4181.17
1620048600,4191.98,4209.39,4191.98,4204.28,4204.28
1620052200,4204.4,4208.12,4193.17,4193.5,4193.5
1620055800,4193.54,4200.81,4192.83,4195.5,4195.5
1620059400,4195.35,4198.16,4193.43,4194.88,4194.88
1620063000,4194.89,4200.82,4194.25,4200.52,4200.52
1620066600,4200.51,4203.92,4196.17,4197.32,4197.32
1620070200,4197.29,4197.53,4188.03,4192.66,4192.66
1620135000,4179.04,4179.04,4143.03,4154.57,4154.57
1620138600,4154.39,4155.92,4131.24,4140.3,4140.3
1620142200,4140.18,4146.12,4128.59,4145.84,4145.84
1620145800,4145.97,4150.24,4137.42,4148.06,4148.06
1620149400,4148.09,4153.72,4143.37,4148.5,4148.5
1620153000,4148.69,4155.32,4146.39,4150.43,4150.43
1620156600,4150.33,4165.88,4147.75,4164.66,4164.66
1620221400,4177.06,4185.31,4160.94,4169.33,4169.33
1620225000,4169.36,4180.49,4169.01,4178.76,4178.76
1620228600,4178.66,4187.72,4178.21,4183.66,4183.66
1620232200,4183.59,4184.85,4174.96,4179.28,4179.28
1620235800,4179.23,4182.74,4176.04,4181.49,4181.49
1620239400,4181.44,4183.51,4162.95,4167.89,4167.89
1620243000,4167.68,4172.51,4164.4,4167.59,4167.59
1620307800,4169.14,4173.33,4147.33,4153.78,4153.78
1620311400,4153.68,4171.43,4152.9,4170.97,4170.97
1620315000,4171.05,4186.21,4170.29,4186.21,4186.21
1620318600,4186.35,4186.64,4175.18,4177.79,4177.79
1620322200,4177.84,4180.26,4169.14,4170.05,4170.05
1620325800,4170.03,4182.76,4167.75,4181.24,4181.24
1620329400,4181.35,4202.7,4180.65,4201.62,4201.62
1620394200,4210.34,4236.72,4201.64,4231.35,4231.35
1620397800,4231.4,4235.92,4228.53,4233.68,4233.68
1620401400,4233.9,4238.04,4230.1,4230.7,4230.7
1620405000,4230.71,4232.25,4224.63,4224.9,4224.9
1620408600,4224.91,4232.74,4222.69,4232.55,4232.55
1620412200,4232.62,4237.75,4226.43,4235.72,4235.72
1620415800,4235.79,4237.74,4231.53,4232.6,4232.6
1620653400,4228.29,4234.98,4226.54,4227.29,4227.29
1620657000,4227.27,4233.6,4220.29,4232.12,4232.12
1620660600,4232.17,4236.39,4229.56,4231.46,4231.46
1620664200,4231.47,4232.21,4226.39,4227.36,4227.36
1620667800,4227.37,4227.54,4205.35,4207.65,4207.65
1620671400,4207.61,4208.3,4198.04,4204.44,4204.44
1620675000,4204.48,4207.94,4188.13,4188.43,4188.43
1620739800,4150.34,4162.04,4128.74,4129.56,4129.56
1620743400,4129,4148.5,4111.53,4148.5,4148.5
1620747000,4148.54,4153.77,4141.47,4144.34,4144.34
1620750600,4144.32,4151.75,4130.85,4151.07,4151.07
1620754200,4151.17,4157.57,4142.84,4157.39,4157.39
1620757800,4157.26,4160.01,4141.94,4154.68,4154.68
1620761400,4154.7,4155.42,4137.08,4152.1,4152.1
1620826200,4130.55,4134.73,4113.22,4113.92,4113.92
1620829800,4113.74,4115.65,4097.02,4104.64,4104.64
1620833400,4104.58,4106.25,4076.75,4086.69,4086.69
1620837000,4086.64,4094.77,4079.37,4083.92,4083.92
