time,open,high,low,close,Plot
-3121407564,4.5,4.5,4.5,4.5,4.5
-3118988364,4.61,4.61,4.61,4.61,4.61
-3113717964,4.86,4.86,4.86,4.86,4.86
-3111039564,4.82,4.82,4.82,4.82,4.82
-3105769164,4.79,4.79,4.79,4.79,4.79
-3103090764,4.84,4.84,4.84,4.84,4.84
-3097820364,4.64,4.64,4.64,4.64,4.64
-3095228364,4.74,4.74,4.74,4.74,4.74
-3092549964,4.86,4.86,4.86,4.86,4.86
-3089871564,4.88,4.88,4.88,4.88,4.88
-3087365964,5.04,5.04,5.04,5.04,5.04
-3084687564,5.18,5.18,5.18,5.18,5.18
-3082095564,5.18,5.18,5.18,5.18,5.18
-3076825164,5.1,5.1,5.1,5.1,5.1
-3074146764,5.04,5.04,5.04,5.04,5.04
-3068876364,4.97,4.97,4.97,4.97,4.97
-3066197964,4.95,4.95,4.95,4.95,4.95
-3060927564,5.11,5.11,5.11,5.11,5.11
-3053151564,5.04,5.04,5.04,5.04,5.04
-3050559564,5.05,5.05,5.05,5.05,5.05
-3045289164,4.97,4.97,4.97,4.97,4.97
-3042610764,4.97,4.97,4.97,4.97,4.97
-3039932364,4.59,4.59,4.59,4.59,4.59
-3037340364,4.19,4.19,4.19,4.19,4.19
-3032069964,4.42,4.42,4.42,4.42,4.42
-3029391564,4.66,4.66,4.66,4.66,4.66
-3021615564,4.6,4.6,4.6,4.6,4.6
-3019023564,4.48,4.48,4.48,4.48,4.48
-3016345164,4.46,4.46,4.46,4.46,4.46
-3013753164,4.46,4.46,4.46,4.46,4.46
-3008396364,4.54,4.54,4.54,4.54,4.54
-3005804364,4.53,4.53,4.53,4.53,4.53
-3000533964,4.54,4.54,4.54,4.54,4.54
-2997855564,4.54,4.54,4.54,4.54,4.54
-2995177164,4.53,4.53,4.53,4.53,4.53
-2992757964,4.59,4.59,4.59,4.59,4.59
-2990079564,4.65,4.65,4.65,4.65,4.65
-2984809164,4.38,4.38,4.38,4.38,4.38
-2982217164,4.39,4.39,4.39,4.39,4.39
-2976860364,4.37,4.37,4.37,4.37,4.37
-2974268364,4.3,4.3,4.3,4.3,4.3
-2971589964,4.37,4.37,4.37,4.37,4.37
-2968997964,4.37,4.37,4.37,4.37,4.37
-2963641164,4.52,4.52,4.52,4.52,4.52
-2961135564,4.51,4.51,4.51,4.51,4.51
-2955865164,4.18,4.18,4.18,4.18,4.18
-2953186764,4.15,4.15,4.15,4.15,4.15
-2947916364,3.93,3.93,3.93,3.93,3.93
-2945237964,3.69,3.69,3.69,3.69,3.69
-2939967564,3.6,3.6,3.6,3.6,3.6
-2937375564,3.58,3.58,3.58,3.58,3.58
-2934697164,3.55,3.55,3.55,3.55,3.55
-2932018764,3.34,3.34,3.34,3.34,3.34
-2929599564,3.17,3.17,3.17,3.17,3.17
-2924329164,2.94,2.94,2.94,2.94,2.94
-2921650764,2.73,2.73,2.73,2.73,2.73
-2916380364,3.05,3.05,3.05,3.05,3.05
-2911109964,3.31,3.31,3.31,3.31,3.31
-2908431564,3.26,3.26,3.26,3.26,3.26
-2903161164,3.25,3.25,3.25,3.25,3.25
-2900482764,3.18,3.18,3.18,3.18,3.18
-2898063564,3.24,3.24,3.24,3.24,3.24
-2895385164,3.33,3.33,3.33,3.33,3.33
-2892793164,3.34,3.34,3.34,3.34,3.34
-2887522764,3.48,3.48,3.48,3.48,3.48
-2884844364,3.45,3.45,3.45,3.45,3.45
-2879573964,3.48,3.48,3.48,3.48,3.48
-2876895564,3.47,3.47,3.47,3.47,3.47
-2871625164,3.58,3.58,3.58,3.58,3.58
-2863849164,3.77,3.77,3.77,3.77,3.77
-2861257164,3.94,3.94,3.94,3.94,3.94
-2855986764,4.04,4.04,4.04,4.04,4.04
-2853308364,4.07,4.07,4.07,4.07,4.07
-2850629964,4.22,4.22,4.22,4.22,4.22
-2848037964,4.68,4.68,4.68,4.68,4.68
-2842767564,4.92,4.92,4.92,4.92,4.92
-2840089164,5.11,5.11,5.11,5.11,5.11
-2834905164,5.3,5.3,5.3,5.3,5.3
-2832226764,5.18,5.18,5.18,5.18,5.18
-2826956364,4.79,4.79,4.79,4.79,4.79
-2824364364,5.01,5.01,5.01,5.01,5.01
-2819007564,5.18,5.18,5.18,5.18,5.18
-2816415564,5.33,5.33,5.33,5.33,5.33
-2813737164,5.61,5.61,5.61,5.61,5.61
-2811145164,5.84,5.84,5.84,5.84,5.84
-2805788364,6.17,6.17,6.17,6.17,6.17
-2803369164,6.24,6.24,6.24,6.24,6.24
-2800690764,6.22,6.22,6.22,6.22,6.22
-2795420364,6.58,6.58,6.58,6.58,6.58
