time,open,high,low,close,Plot
1675708800,4110.13,4110.27,4106.28,4109.01,4109.01
1675709100,4108.97,4110.07,4106.31,4106.85,4106.85
1675709400,4106.86,4111.19,4106.8,4108.88,4108.88
1675709700,4108.87,4112.6,4108.39,4111.76,4111.76
1675710000,4111.73,4116.56,4111.56,4115.31,4115.31
1675710300,4115.33,4116.52,4114.49,4115.72,4115.72
1675710600,4115.79,4118.7,4115.5,4117.1,4117.1
1675710900,4117.16,4121.86,4116.95,4120.59,4120.59
1675711200,4120.56,4121.29,4117.28,4117.37,4117.37
1675711500,4117.34,4118.01,4115.05,4115.89,4115.89
1675711800,4115.85,4116.61,4113.01,4113.07,4113.07
1675712100,4113.19,4114.22,4111.52,4112.8,4112.8
1675712400,4112.68,4113.01,4109.13,4112.27,4112.27
1675712700,4112.25,4113.32,4110.96,4112.39,4112.39
1675713000,4112.42,4112.88,4109.41,4112.88,4112.88
1675713300,4112.86,4114.09,4111.08,4114.09,4114.09
1675713600,4114.04,4114.83,4112.02,4112.21,4112.21
1675713900,4112.28,4112.33,4107.46,4111.79,4111.79
1675714200,4111.89,4111.9,4106.59,4106.92,4106.92
1675714500,4106.89,4109.15,4104.48,4107.51,4107.51
1675714800,4107.55,4109.8,4105.09,4105.09,4105.09
1675715100,4105.1,4106.08,4102.53,4103.73,4103.73
1675715400,4103.7,4107.82,4099.86,4106.91,4106.91
1675715700,4106.92,4111.88,4106.92,4109.34,4109.34
1675716000,4109.36,4111.06,4108.1,4108.79,4108.79
1675716300,4108.78,4109.73,4105.11,4106.88,4106.88
1675716600,4106.76,4113.93,4106.76,4112.47,4112.47
1675716900,4112.39,4112.84,4108.86,4111.2,4111.2
1675717200,4111.02,4111.07,4110.91,4111.07,4111.07
1675717500,4111.08,4111.08,4111.08,4111.08,4111.08
1675780200,4105.35,4105.35,4097.53,4101.4,4101.4
1675780500,4101.14,4104.66,4098.11,4104.33,4104.33
1675780800,4104.48,4107.4,4101.76,4106.53,4106.53
1675781100,4106.47,4106.47,4100.07,4102.9,4102.9
1675781400,4102.81,4107.22,4101.84,4103.36,4103.36
1675781700,4103.52,4105.77,4100.65,4101.95,4101.95
1675782000,4101.94,4102.88,4099.8,4101.92,4101.92
1675782300,4101.93,4104.79,4099.93,4099.93,4099.93
1675782600,4099.7,4100.37,4096.69,4099.3,4099.3
1675782900,4099.5,4102.27,4097.01,4102.17,4102.17
1675783200,4102.23,4102.81,4100.21,4100.61,4100.61
1675783500,4100.58,4101.69,4095.79,4097.63,4097.63
1675783800,4097.78,4101.05,4097.15,4099.06,4099.06
1675784100,4099.14,4102.66,4098.24,4102.17,4102.17
1675784400,4102.15,4103.03,4100.18,4102.95,4102.95
1675784700,4102.89,4103.39,4101.46,4102.63,4102.63
1675785000,4102.71,4105.66,4102.4,4102.81,4102.81
