time,open,high,low,close,Plot
-3121407564,4.5,4.5,4.5,4.5,NaN
-3118988364,4.61,4.61,4.61,4.61,NaN
-3113717964,4.86,4.86,4.86,4.86,NaN
-3111039564,4.82,4.82,4.82,4.82,NaN
-3105769164,4.79,4.79,4.79,4.79,NaN
-3103090764,4.84,4.84,4.84,4.84,NaN
-3097820364,4.64,4.64,4.64,4.64,NaN
-3095228364,4.74,4.74,4.74,4.74,NaN
-3092549964,4.86,4.86,4.86,4.86,NaN
-3089871564,4.88,4.88,4.88,4.88,NaN
-3087365964,5.04,5.04,5.04,5.04,NaN
-3084687564,5.18,5.18,5.18,5.18,NaN
-3082095564,5.18,5.18,5.18,5.18,NaN
-3076825164,5.1,5.1,5.1,5.1,NaN
-3074146764,5.04,5.04,5.04,5.04,NaN
-3068876364,4.97,4.97,4.97,4.97,NaN
-3066197964,4.95,4.95,4.95,4.95,NaN
-3060927564,5.11,5.11,5.11,5.11,NaN
-3053151564,5.04,5.04,5.04,5.04,NaN
-3050559564,5.05,5.05,5.05,5.05,NaN
-3045289164,4.97,4.97,4.97,4.97,NaN
-3042610764,4.97,4.97,4.97,4.97,NaN
-3039932364,4.59,4.59,4.59,4.59,NaN
-3037340364,4.19,4.19,4.19,4.19,NaN
-3032069964,4.42,4.42,4.42,4.42,NaN
-3029391564,4.66,4.66,4.66,4.66,NaN
-3021615564,4.6,4.6,4.6,4.6,NaN
-3019023564,4.48,4.48,4.48,4.48,NaN
-3016345164,4.46,4.46,4.46,4.46,NaN
-3013753164,4.46,4.46,4.46,4.46,NaN
-3008396364,4.54,4.54,4.54,4.54,NaN
-3005804364,4.53,4.53,4.53,4.53,NaN
-3000533964,4.54,4.54,4.54,4.54,NaN
-2997855564,4.54,4.54,4.54,4.54,NaN
-2995177164,4.53,4.53,4.53,4.53,NaN
-2992757964,4.59,4.59,4.59,4.59,NaN
-2990079564,4.65,4.65,4.65,4.65,NaN
-2984809164,4.38,4.38,4.38,4.38,NaN
-2982217164,4.39,4.39,4.39,4.39,NaN
-2976860364,4.37,4.37,4.37,4.37,NaN
-2974268364,4.3,4.3,4.3,4.3,NaN
-2971589964,4.37,4.37,4.37,4.37,NaN
-2968997964,4.37,4.37,4.37,4.37,NaN
-2963641164,4.52,4.52,4.52,4.52,NaN
-2961135564,4.51,4.51,4.51,4.51,NaN
-2955865164,4.18,4.18,4.18,4.18,NaN
-2953186764,4.15,4.15,4.15,4.15,NaN
-2947916364,3.93,3.93,3.93,3.93,NaN
-2945237964,3.69,3.69,3.69,3.69,NaN
-2939967564,3.6,3.6,3.6,3.6,NaN
-2937375564,3.58,3.58,3.58,3.58,NaN
-2934697164,3.55,3.55,3.55,3.55,NaN
-2932018764,3.34,3.34,3.34,3.34,NaN
-2929599564,3.17,3.17,3.17,3.17,NaN
-2924329164,2.94,2.94,2.94,2.94,NaN
-2921650764,2.73,2.73,2.73,2.73,NaN
-2916380364,3.05,3.05,3.05,3.05,NaN
-2911109964,3.31,3.31,3.31,3.31,NaN
-2908431564,3.26,3.26,3.26,3.26,NaN
-2903161164,3.25,3.25,3.25,3.25,NaN
-2900482764,3.18,3.18,3.18,3.18,NaN
-2898063564,3.24,3.24,3.24,3.24,NaN
-2895385164,3.33,3.33,3.33,3.33,NaN
-2892793164,3.34,3.34,3.34,3.34,NaN
-2887522764,3.48,3.48,3.48,3.48,NaN
-2884844364,3.45,3.45,3.45,3.45,NaN
-2879573964,3.48,3.48,3.48,3.48,NaN
-2876895564,3.47,3.47,3.47,3.47,NaN
-2871625164,3.58,3.58,3.58,3.58,NaN
-2863849164,3.77,3.77,3.77,3.77,NaN
-2861257164,3.94,3.94,3.94,3.94,NaN
-2855986764,4.04,4.04,4.04,4.04,NaN
-2853308364,4.07,4.07,4.07,4.07,NaN
-2850629964,4.22,4.22,4.22,4.22,NaN
-2848037964,4.68,4.68,4.68,4.68,NaN
-2842767564,4.92,4.92,4.92,4.92,NaN
-2840089164,5.11,5.11,5.11,5.11,NaN
-2834905164,5.3,5.3,5.3,5.3,NaN
-2832226764,5.18,5.18,5.18,5.18,NaN
-2826956364,4.79,4.79,4.79,4.79,NaN
-2824364364,5.01,5.01,5.01,5.01,NaN
-2819007564,5.18,5.18,5.18,5.18,NaN
-2816415564,5.33,5.33,5.33,5.33,NaN
-2813737164,5.61,5.61,5.61,5.61,NaN
-2811145164,5.84,5.84,5.84,5.84,NaN
-2805788364,6.17,6.17,6.17,6.17,NaN
-2803369164,6.24,6.24,6.24,6.24,NaN
-2800690764,6.22,6.22,6.22,6.22,NaN
-2795420364,6.58,6.58,6.58,6.58,NaN
-2792828364,6.35,6.35,6.35,6.35,NaN
-2790149964,6.2,6.2,6.2,6.2,NaN
-2787471564,6.25,6.25,6.25,6.25,NaN
-2782201164,6.19,6.19,6.19,6.19,NaN
-2779609164,6.01,6.01,6.01,6.01,NaN
-2774252364,5.79,5.79,5.79,5.79,NaN
-2771833164,5.78,5.78,5.78,5.78,NaN
-2766562764,5.71,5.71,5.71,5.71,NaN
-2763884364,5.68,5.68,5.68,5.68,NaN
-2758613964,6.18,6.18,6.18,6.18,NaN
